BUY: $100.00 of BTC at $90000.00 on 01-01-2025|08:00. Quantity: 0.001111 BTC
BUY: $0.00 of BTC at $49097.00 on 10-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47624.00 on 10-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49052.00 on 10-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50523.00 on 10-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49007.00 on 10-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47536.00 on 10-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48962.00 on 11-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50430.00 on 11-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48917.00 on 11-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50384.00 on 11-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48872.00 on 11-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50338.00 on 11-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51848.00 on 12-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50292.00 on 12-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48783.00 on 12-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47319.00 on 12-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45899.00 on 12-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47275.00 on 12-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45856.00 on 13-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44480.00 on 13-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43145.00 on 13-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44439.00 on 13-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43105.00 on 13-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41811.00 on 13-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43065.00 on 14-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41773.00 on 14-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40519.00 on 14-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41734.00 on 14-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42986.00 on 14-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41696.00 on 14-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42946.00 on 15-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41657.00 on 15-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42906.00 on 15-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44193.00 on 15-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45518.00 on 15-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44152.00 on 15-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42827.00 on 16-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44111.00 on 16-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45434.00 on 16-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44070.00 on 16-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42747.00 on 16-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41464.00 on 16-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42707.00 on 17-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43988.00 on 17-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42668.00 on 17-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41387.00 on 17-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40145.00 on 17-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38940.00 on 17-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40108.00 on 18-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41311.00 on 18-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42550.00 on 18-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43826.00 on 18-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42511.00 on 18-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43786.00 on 18-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45099.00 on 19-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46451.00 on 19-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47844.00 on 19-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49279.00 on 19-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47800.00 on 19-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49234.00 on 19-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47756.00 on 20-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49188.00 on 20-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47712.00 on 20-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46280.00 on 20-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47668.00 on 20-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46237.00 on 20-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47624.00 on 21-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46195.00 on 21-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44809.00 on 21-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46153.00 on 21-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44768.00 on 21-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43424.00 on 21-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44726.00 on 22-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46067.00 on 22-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44684.00 on 22-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46024.00 on 22-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47404.00 on 22-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48826.00 on 22-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47361.00 on 23-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45940.00 on 23-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47318.00 on 23-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45898.00 on 23-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47274.00 on 23-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48692.00 on 23-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50152.00 on 24-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48647.00 on 24-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47187.00 on 24-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48602.00 on 24-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50060.00 on 24-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51561.00 on 24-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53107.00 on 25-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51513.00 on 25-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53058.00 on 25-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51466.00 on 25-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53009.00 on 25-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54599.00 on 25-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56236.00 on 26-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57923.00 on 26-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56185.00 on 26-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57870.00 on 26-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59606.00 on 26-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57817.00 on 26-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56082.00 on 27-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54399.00 on 27-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56030.00 on 27-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54349.00 on 27-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52718.00 on 27-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51136.00 on 27-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49601.00 on 28-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48112.00 on 28-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46668.00 on 28-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45267.00 on 28-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46625.00 on 28-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48023.00 on 28-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49463.00 on 29-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47979.00 on 29-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46539.00 on 29-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45142.00 on 29-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46496.00 on 29-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47890.00 on 29-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46453.00 on 30-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47846.00 on 30-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49281.00 on 30-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47802.00 on 30-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46367.00 on 30-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47758.00 on 30-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46325.00 on 31-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47714.00 on 31-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46282.00 on 31-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44893.00 on 31-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43546.00 on 31-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44852.00 on 31-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46197.00 on 01-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44811.00 on 01-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46155.00 on 01-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47539.00 on 01-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46112.00 on 01-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44728.00 on 01-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43386.00 on 02-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44687.00 on 02-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43346.00 on 02-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44646.00 on 02-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43306.00 on 02-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44605.00 on 02-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45943.00 on 03-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47321.00 on 03-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45901.00 on 03-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47278.00 on 03-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45859.00 on 03-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47234.00 on 03-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48651.00 on 04-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50110.00 on 04-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48606.00 on 04-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50064.00 on 04-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48562.00 on 04-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50018.00 on 04-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51518.00 on 05-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53063.00 on 05-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54654.00 on 05-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56293.00 on 05-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54604.00 on 05-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56242.00 on 05-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54554.00 on 06-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52917.00 on 06-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51329.00 on 06-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52868.00 on 06-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54454.00 on 06-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56087.00 on 06-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57769.00 on 07-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59502.00 on 07-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61287.00 on 07-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59448.00 on 07-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61231.00 on 07-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59394.00 on 07-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61175.00 on 08-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63010.00 on 08-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64900.00 on 08-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66847.00 on 08-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64841.00 on 08-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62895.00 on 08-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64781.00 on 09-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62837.00 on 09-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60951.00 on 09-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59122.00 on 09-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57348.00 on 09-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55627.00 on 09-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57295.00 on 10-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55576.00 on 10-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53908.00 on 10-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55525.00 on 10-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57190.00 on 10-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55474.00 on 10-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57138.00 on 11-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55423.00 on 11-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53760.00 on 11-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52147.00 on 11-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53711.00 on 11-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55322.00 on 11-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56981.00 on 12-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55271.00 on 12-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53612.00 on 12-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52003.00 on 12-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50442.00 on 12-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48928.00 on 12-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47460.00 on 13-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48883.00 on 13-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47416.00 on 13-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45993.00 on 13-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44613.00 on 13-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43274.00 on 13-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44572.00 on 14-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45909.00 on 14-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44531.00 on 14-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43195.00 on 14-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44490.00 on 14-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43155.00 on 14-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44449.00 on 15-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43115.00 on 15-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44408.00 on 15-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45740.00 on 15-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47112.00 on 15-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48525.00 on 15-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49980.00 on 16-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48480.00 on 16-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47025.00 on 16-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48435.00 on 16-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46981.00 on 16-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48390.00 on 16-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46938.00 on 17-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48346.00 on 17-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49796.00 on 17-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48302.00 on 17-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49751.00 on 17-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48258.00 on 17-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46810.00 on 18-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45405.00 on 18-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44042.00 on 18-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42720.00 on 18-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41438.00 on 18-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42681.00 on 18-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41400.00 on 19-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40158.00 on 19-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38953.00 on 19-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $37784.00 on 19-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38917.00 on 19-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40084.00 on 19-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41286.00 on 20-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40047.00 on 20-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38845.00 on 20-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40010.00 on 20-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41210.00 on 20-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42446.00 on 20-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43719.00 on 21-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45030.00 on 21-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46380.00 on 21-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47771.00 on 21-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46337.00 on 21-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44946.00 on 21-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43597.00 on 22-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44904.00 on 22-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43556.00 on 22-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44862.00 on 22-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46207.00 on 22-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44820.00 on 22-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46164.00 on 23-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47548.00 on 23-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48974.00 on 23-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47504.00 on 23-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46078.00 on 23-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44695.00 on 23-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43354.00 on 24-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42053.00 on 24-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40791.00 on 24-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42014.00 on 24-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40753.00 on 24-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41975.00 on 24-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40715.00 on 25-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $39493.00 on 25-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38308.00 on 25-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $39457.00 on 25-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38273.00 on 25-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $39421.00 on 25-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38238.00 on 26-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $37090.00 on 26-04-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $35977.00 on 26-04-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $37056.00 on 26-04-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $38167.00 on 26-04-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $39312.00 on 26-04-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $40491.00 on 27-04-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $41705.00 on 27-04-2025|04:00. Quantity: 0.000000 BTC
